source,target,value
1387936232,1387936232,94
1387936232,2232853,24
1387936232,7373730,3
1387936232,2070589931,4
1387936232,4444363,1
1387936232,50723116,1
1387936232,3391180,1
1387936232,2229958,3
1387936232,145046057,1
1409432424,1409432424,93
1409432424,2660575,4
1409432424,2310860,4
1409432424,29113221,5
145046057,145046057,112
145046057,2660575,2
145046057,2310860,2
145046057,1732789,3
145046057,2229958,1
145046057,2943065,2
145046057,1387936232,1
1732789,1732789,46
1732789,145046057,3
1732789,29113221,1
1945992,1945992,58
2070589931,7373730,3
2070589931,2070589931,8
2070589931,1387936232,4
2070589931,50723116,3
2070589931,3391180,2
2229958,2229958,92
2229958,2660575,15
2229958,2310860,17
2229958,3096649,4
2229958,7373730,5
2229958,145046057,1
2229958,1387936232,3
2229958,2232853,2
2232853,2232853,55
2232853,1387936232,24
2232853,46298112,3
2232853,2229958,2
2310860,2310860,150
2310860,2660575,104
2310860,145046057,2
2310860,4444363,3
2310860,1409432424,4
2310860,3096649,9
2310860,2229958,17
2310860,2943065,3
2310860,7373730,9
2310860,2449352,2
2310860,29113221,1
2310860,50723116,1
2449352,2449352,123
2449352,29113221,24
2449352,2310860,2
2449352,2660575,1
2660575,2660575,169
2660575,2310860,104
2660575,145046057,2
2660575,4444363,3
2660575,1409432424,4
2660575,2229958,15
2660575,3096649,6
2660575,7373730,6
2660575,2943065,1
2660575,50723116,1
2660575,2449352,1
2800259,2800259,35
2800259,7373730,16
29113221,29113221,213
29113221,1409432424,5
29113221,2449352,24
29113221,2310860,1
29113221,1732789,1
2943065,2943065,518
2943065,2310860,3
2943065,7373730,4
2943065,2660575,1
2943065,145046057,2
3096649,3096649,42
3096649,2310860,9
3096649,2660575,6
3096649,2229958,4
3096649,7373730,1
3391180,3391180,31
3391180,2070589931,2
3391180,50723116,2
3391180,1387936232,1
38247697,38247697,16
4444363,4444363,123
4444363,2660575,3
4444363,2310860,3
4444363,1387936232,1
46298112,46298112,24
46298112,2232853,3
49172955,49172955,68
50723116,50723116,16
50723116,2070589931,3
50723116,3391180,2
50723116,1387936232,1
50723116,2660575,1
50723116,2310860,1
7373730,7373730,231
7373730,2070589931,3
7373730,1387936232,3
7373730,2943065,4
7373730,2310860,9
7373730,2800259,16
7373730,2660575,6
7373730,2229958,5
7373730,3096649,1
