id,label,group
2660575,Peter Sheridan Dodds,1
2070589931,Juniper L. Lovato,6
1945992,Mads Almassalkhi,8
2229958,James Bagrow,1
7373730,Joshua Bongard,2
2800259,Nicholas Cheney,2
2310860,Chris Danforth,1
2449352,Margaret Eppstein,2
2943065,Hugh Garavan,7
49172955,Bill Gibson,1
50723116,Randall Harp,6
1387936232,Laurent Hébert-Dufresne,2
4444363,Meredith Niles,5
1409432424,Jarlath O'Neil-Dunne,5
3391180,Jeremiah Onaolapo,2
46298112,Alice Patania,1
145046057,Matthew Price,4
29113221,Donna Rizzo,8
3096649,Brian Tivnan,1
38247697,Puck Rombach,1
2232853,Jean-Gabriel Young,3
1732789,Safwan Wshah,2
